route_id,start_location,end_location,transport_mode,filename
7b66be90-e1d4-4432-8029-75fd1ffe7edb,Kihei,Lahaina,auto,7b66be90-e1d4-4432-8029-75fd1ffe7edb.geojson
0bb153d0-3990-4852-96dc-788ed2b1ff7b,Ka'eleku,Kahului,auto,0bb153d0-3990-4852-96dc-788ed2b1ff7b.geojson
54cc7227-b5af-4411-a6ab-39302984ae8b,Kauai,Kauai,boat,boat_kauai.geojson
3d88b83c-1bc9-4281-b58d-5ef82ddfc402,Cruz Bay,"West End, Tortola",boat,boat_stj_west_end_tortola.geojson
60fba8c7-95df-4ba3-bee7-6b68d5dc7b63,Rio Pacuare,Rio Pacuare,boat,boat_pacuare.geojson
704e0981-657c-4d57-9817-d7e84e725ab9,Hout Bay,Duiker Island,boat,boat_hout.geojson
49b8576a-59a4-44dd-bf13-512dd185f842,Alwar,Jawanpura,auto,49b8576a-59a4-44dd-bf13-512dd185f842.geojson
9d6eea0d-5a54-4a21-81b6-8ce13c9c765f,Jawanpura,Cheend,auto,9d6eea0d-5a54-4a21-81b6-8ce13c9c765f.geojson
53e2109b-7802-4666-be19-a44d92e21b78,Jawanpura,Bhamod,auto,53e2109b-7802-4666-be19-a44d92e21b78.geojson
8fe6e95b-bca0-44bf-996b-9440a01aa66a,Jodhpur,Arna Jharna Thar Desert Museum,auto,8fe6e95b-bca0-44bf-996b-9440a01aa66a.geojson
0bd6f01b-e2cb-42f7-949c-841aabeef190,Ambala,Amritsar,train,train_ambala_new_delhi.geojson
9ea435ed-9959-46df-959a-67c52f511a91,Bikaner,Karni Mata Temple,auto,9ea435ed-9959-46df-959a-67c52f511a91.geojson
10b96939-7bd5-4040-a361-d96d7cb6574f,Raipur,Jagdalpur,train,train_raipur_jagdalpur.geojson
bbf89ef7-7cca-4d12-b86d-120777a6af95,Agra,Raipur,train,train_agra_raipur.geojson
8e28a6bf-ab2d-413a-9199-7abbeb4a40fc,Visapkhapatnam,Visakhapatnam,train,train_visakhapatnam.geojson
f17e580a-d9ca-491a-aefa-3e5ce962be91,Jaipur,Sawai Madhopur,train,train_jaipur_mumbai_line.geojson
